term,Topic,Freq,Term
1659,5,0.23743992307527398,boca
1659,6,0.17807994230645546,boca
1659,7,0.15433594999892808,boca
629,1,0.10741050226545958,bocas
629,2,0.12275485973195381,bocas
629,3,0.04603307239948268,bocas
629,4,0.09206614479896535,bocas
629,5,0.13809921719844803,bocas
629,6,0.24550971946390762,bocas
629,7,0.24550971946390762,bocas
1283,1,0.6208129276223068,bombero
1283,3,0.07760161595278835,bombero
1283,4,0.07760161595278835,bombero
1283,5,0.07760161595278835,bombero
1283,7,0.11640242392918251,bombero
2276,1,0.15777763316015025,bomberos
2276,5,0.15777763316015025,bomberos
2276,6,0.631110532640601,bomberos
1065,4,0.649393798677525,bucaramanga
1065,5,0.129878759735505,bucaramanga
1065,7,0.25975751947101,bucaramanga
1284,1,0.5509442247858286,busca
1284,2,0.03672961498572191,busca
1284,3,0.14691845994288763,busca
1284,4,0.03672961498572191,busca
1284,5,0.11018884495716572,busca
1284,7,0.11018884495716572,busca
9114,2,0.09820320489183736,by
9114,3,0.29460961467551205,by
9114,7,0.5892192293510241,by
392,1,0.016828212599821306,cabeza
392,2,0.16828212599821304,cabeza
392,3,0.555331015794103,cabeza
392,4,0.016828212599821306,cabeza
392,5,0.03365642519964261,cabeza
392,6,0.03365642519964261,cabeza
392,7,0.18511033859803436,cabeza
1660,1,0.10553428599580429,cahora
1660,2,0.6332057159748258,cahora
1660,3,0.10553428599580429,cahora
1660,4,0.10553428599580429,cahora
1660,7,0.10553428599580429,cahora
8952,2,0.6374127172660954,calcula
5589,2,0.6941330784640215,calidad
5589,3,0.23137769282134052,calidad
5589,7,0.11568884641067026,calidad
189,1,0.13728020735151164,camara
189,2,0.411840622054535,camara
189,3,0.03432005183787791,camara
189,4,0.13728020735151164,camara
189,5,0.06864010367575582,camara
189,6,0.10296015551363374,camara
189,7,0.10296015551363374,camara
9740,6,0.8444097741793104,camion
713,1,0.21027261267656247,canaria
713,2,0.18223626431968748,canaria
713,3,0.0981272192490625,canaria
713,4,0.2943816577471875,canaria
713,5,0.0981272192490625,canaria
713,6,0.07009087089218749,canaria
713,7,0.056072696713749995,canaria
4855,1,0.1659833259059546,canary
4855,2,0.0829916629529773,canary
4855,3,0.4979499777178638,canary
4855,4,0.0829916629529773,canary
4855,6,0.0829916629529773,canary
4855,7,0.0829916629529773,canary
2023,1,0.02136003217191103,caribe
2023,2,0.640800965157331,caribe
2023,4,0.02136003217191103,caribe
2023,5,0.10680016085955515,caribe
2023,6,0.10680016085955515,caribe
2023,7,0.08544012868764413,caribe
8082,1,0.8836014110031182,cartel
237,1,0.1477113776484639,casa
237,2,0.1477113776484639,casa
237,3,0.06330487613505595,casa
237,4,0.10550812689175992,casa
237,5,0.18991462840516787,casa
237,6,0.31652438067527977,casa
237,7,0.04220325075670397,casa
1988,1,0.08043080022541627,casco
1988,2,0.16086160045083253,casco
1988,3,0.04021540011270813,casco
1988,4,0.6836618019160383,casco
1988,5,0.04021540011270813,casco
1988,6,0.04021540011270813,casco
448,1,0.5739517561511938,cazador
448,3,0.06377241735013264,cazador
448,4,0.06377241735013264,cazador
448,5,0.09565862602519895,cazador
448,7,0.1594310433753316,cazador
11641,6,0.8446052710942463,cbsnews
988,1,0.14526814792972145,ceniza
988,2,0.13672296275738488,ceniza
988,3,0.18799407379140423,ceniza
988,4,0.12817777758504834,ceniza
988,5,0.13672296275738488,ceniza
988,6,0.12817777758504834,ceniza
988,7,0.13672296275738488,ceniza
168,1,0.11509879789860379,cenizas
168,2,0.2877469947465095,cenizas
168,3,0.16442685414086256,cenizas
168,4,0.13976282601973317,cenizas
168,5,0.06577074165634503,cenizas
168,6,0.13976282601973317,cenizas
168,7,0.08221342707043128,cenizas
10027,7,0.8556341482577936,certificacion
3269,1,0.07557928910321918,cientos
3269,2,0.07557928910321918,cientos
3269,3,0.07557928910321918,cientos
3269,4,0.6046343128257534,cientos
3269,5,0.07557928910321918,cientos
3269,6,0.07557928910321918,cientos
3269,7,0.07557928910321918,cientos
9016,2,0.15737468074899466,cimas
9016,3,0.6294987229959786,cimas
9016,7,0.15737468074899466,cimas
1285,1,0.4837408339927355,civil
1285,2,0.028455343176043264,civil
1285,3,0.08536602952812979,civil
1285,4,0.08536602952812979,civil
1285,5,0.17073205905625957,civil
1285,7,0.14227671588021631,civil
6304,7,0.8557131583856419,claramente
10395,1,0.8836048191376832,claudegrandpey
108,1,0.09104589657453722,cnnee
108,2,0.4552294828726861,cnnee
108,3,0.11380737071817153,cnnee
108,4,0.09104589657453722,cnnee
108,5,0.13656884486180584,cnnee
108,7,0.11380737071817153,cnnee
11479,5,0.6523786440080616,cobra
18,1,0.11885190407094595,coladas
18,2,0.11885190407094595,coladas
18,3,0.1708496121019848,coladas
18,4,0.22284732013302366,coladas
18,5,0.12628014807538007,coladas
18,6,0.14856488008868243,coladas
18,7,0.10399541606207771,coladas
8823,3,0.8334183560835294,collapse
4625,1,0.883788930015582,comment
4,2,0.8487224732458108,construyen
11935,7,0.8556743096047468,contenidos
715,1,0.08091321659868356,continua
715,2,0.1753119692971477,continua
715,3,0.25622518589583126,continua
715,4,0.08091321659868356,continua
715,5,0.13485536099780593,continua
715,6,0.14834089709758652,continua
715,7,0.12136982489802534,continua
2499,5,0.7821505737948927,controlar
1026,3,0.9363708359217588,cooperacion
5946,3,0.15854280383539332,cordoba
5946,4,0.15854280383539332,cordoba
5946,6,0.6341712153415733,cordoba
9115,7,0.7377789692737042,creado
3235,1,0.7909506257550298,creciendo
4022,7,0.8556045980140696,crecio
8358,1,0.7910867148480953,criticar
4535,2,0.49231650482007855,cronologia
4535,3,0.07574100074155055,cronologia
4535,5,0.3029640029662022,cronologia
4535,6,0.11361150111232582,cronologia
4535,7,0.03787050037077527,cronologia
9248,4,0.866077068788634,cubiertas
9248,5,0.2165192671971585,cubiertas
6089,6,0.8446149397713368,cubriendo
7945,5,0.8658025122871832,cuchufl
184,1,0.07429885653870792,cumbrevieja
184,2,0.18161942709461937,cumbrevieja
184,3,0.2146411411118229,cumbrevieja
184,4,0.2146411411118229,cumbrevieja
184,5,0.10732057055591145,cumbrevieja
184,6,0.17336399859031848,cumbrevieja
184,7,0.0412771425215044,cumbrevieja
5435,1,0.31704991060320836,cumple
5435,2,0.06605206470900174,cumple
5435,3,0.22457702001060595,cumple
5435,4,0.07926247765080209,cumple
5435,5,0.18494578118520488,cumple
5435,6,0.09247289059260244,cumple
5435,7,0.039631238825401045,cumple
10037,1,0.24783820227625897,danino
10037,6,0.6195955056906475,danino
4995,1,0.1422439810136269,dano
4995,4,0.7112199050681345,dano
4995,7,0.1422439810136269,dano
1535,3,0.8334696820458511,deberse
693,1,0.1360262898609386,declarada
693,2,0.18703614855879055,declarada
693,3,0.18703614855879055,declarada
693,5,0.47609201451328503,declarada
693,6,0.017003286232617324,declarada
3243,3,0.936564451593746,declarado
3509,1,0.7911303903558867,dedique
742,1,0.15322084338256275,deja
742,2,0.05107361446085425,deja
742,3,0.1021472289217085,deja
742,4,0.1276840361521356,deja
742,5,0.408588915686834,deja
742,6,0.07661042169128138,deja
742,7,0.07661042169128138,deja
10902,5,0.8658612420780962,dentistas
8820,2,0.18522755687970352,deportes
8820,4,0.7409102275188141,deportes
937,1,0.39141982774919315,derrumba
937,2,0.152218821902464,derrumba
937,3,0.021745545986066286,derrumba
937,4,0.1304732759163977,derrumba
937,5,0.1304732759163977,derrumba
937,6,0.03261831897909943,derrumba
937,7,0.1304732759163977,derrumba
97,1,0.3987856904386223,derrumbe
97,2,0.09257524956610874,derrumbe
97,3,0.049848211304827784,derrumbe
97,4,0.06409055739192143,derrumbe
97,5,0.03560586521773413,derrumbe
97,6,0.17802932608867064,derrumbe
97,7,0.17802932608867064,derrumbe
5932,1,0.7953950911846431,desaparecieron
5932,4,0.19884877279616078,desaparecieron
9179,1,0.04061400880606074,descanso
9179,2,0.08122801761212148,descanso
9179,3,0.4467540968666681,descanso
9179,5,0.04061400880606074,descanso
9179,6,0.36552607925454667,descanso
9179,7,0.08122801761212148,descanso
9742,6,0.8448690542224727,descomunales
7379,6,0.8448284717397866,desgobierno
138,1,0.8184500320489063,desperto
138,2,0.09093889244987849,desperto
138,4,0.09093889244987849,desperto
10416,1,0.8834048797252357,desplazarse
309,1,0.15845268671873827,destacadas
309,2,0.5281756223957942,destacadas
309,5,0.10563512447915883,destacadas
309,6,0.05281756223957942,destacadas
309,7,0.10563512447915883,destacadas
3092,5,0.6487415714105664,destino
3534,4,0.8599269748620256,destructiva
5139,2,0.23748568148651442,destruido
5139,3,0.13570610370657965,destruido
5139,4,0.37319178519309404,destruido
5139,5,0.13570610370657965,destruido
5139,6,0.06785305185328983,destruido
5139,7,0.06785305185328983,destruido
1617,2,0.12755125160795516,destruir
1617,3,0.06377562580397758,destruir
1617,4,0.12755125160795516,destruir
1617,5,0.06377562580397758,destruir
1617,6,0.6377562580397758,destruir
5747,1,0.17273790475688225,detalle
5747,2,0.5182137142706468,detalle
5747,4,0.23031720634250968,detalle
5747,7,0.11515860317125484,detalle
1813,1,0.2431248756956978,devastacion
1813,2,0.07293746270870934,devastacion
1813,3,0.048624975139139555,devastacion
1813,4,0.3160623384044071,devastacion
1813,5,0.218812388126128,devastacion
1813,6,0.048624975139139555,devastacion
1813,7,0.024312487569569777,devastacion
9834,5,0.865837125804807,dijera
9798,2,0.8485188773134237,discurre
6538,6,0.635324634911902,diversa
9774,2,0.8483772277531539,dogrescue
9342,2,0.6374441577110368,domina
6155,7,0.8557825694149107,dominicana
164,1,0.45045692718541397,drones
164,2,0.18299812666907442,drones
164,3,0.09853745282180931,drones
164,4,0.07038389487272094,drones
164,5,0.07038389487272094,drones
164,6,0.056307115898176746,drones
164,7,0.07038389487272094,drones
9138,4,0.7776143885634483,drramonreyesmd
4122,4,0.8599431938974795,duramente
9428,5,0.8656655363795425,ebullicion
2072,1,0.03852266967616404,edificaciones
2072,2,0.06420444946027339,edificaciones
2072,3,0.025681779784109356,edificaciones
2072,4,0.4109084765457497,edificaciones
2072,5,0.2824995776252029,edificaciones
2072,6,0.05136355956821871,edificaciones
2072,7,0.1155680090284921,edificaciones
9665,6,0.6345009356695266,efectivos
1628,1,0.731406941562808,el_pais
1628,5,0.091425867695351,el_pais
1628,6,0.182851735390702,el_pais
4424,3,0.259527300453438,elecciones
4424,5,0.778581901360314,elecciones
2351,5,0.6522878265665725,elle
4934,2,0.7463900178814474,emanaciones
4934,4,0.03554238180387845,emanaciones
4934,6,0.1421695272155138,emanaciones
4934,7,0.0710847636077569,emanaciones
4211,1,0.12773907124453013,emergen
4211,2,0.12773907124453013,emergen
4211,5,0.12773907124453013,emergen
4211,7,0.6386953562226507,emergen
11847,1,0.2079411692172402,emitida
11847,6,0.6238235076517206,emitida
10440,4,0.2124387062166691,emitio
10440,6,0.6373161186500073,emitio
6764,1,0.20787246392949177,empezar
6764,6,0.6236173917884753,empezar
160,2,0.0602956619587478,endirecto
160,3,0.301478309793739,endirecto
160,4,0.1205913239174956,endirecto
160,6,0.5426609576287302,endirecto
1678,1,0.045293167691128275,ensanchan
1678,2,0.4529316769112828,ensanchan
1678,3,0.1811726707645131,ensanchan
1678,6,0.1811726707645131,ensanchan
1678,7,0.09058633538225655,ensanchan
5365,7,0.6431355334770285,enterrarnos
5266,4,0.6477506048107994,entrevista
5266,7,0.2159168682702665,entrevista
11669,3,0.8335347611232845,eones
2551,1,0.20350242038410862,equipo
2551,2,0.17806461783609506,equipo
2551,3,0.3561292356721901,equipo
2551,4,0.050875605096027156,equipo
2551,5,0.10175121019205431,equipo
2551,6,0.025437802548013578,equipo
2551,7,0.12718901274006789,equipo
192,1,0.22203393434019536,erupciones
192,2,0.248155573674336,erupciones
192,3,0.1567298360048438,erupciones
192,4,0.19591229500605473,erupciones
192,5,0.06530409833535158,erupciones
192,6,0.05224327866828126,erupciones
192,7,0.05224327866828126,erupciones
694,1,0.07450954130014092,erupcionlapalma
694,2,0.47266990262276903,erupcionlapalma
694,3,0.09313692662517616,erupcionlapalma
694,4,0.060539002306364505,erupcionlapalma
