,Term,Freq,Total,Category,logprob,loglift
168,cenizas,41.35522445493882,123.75767829851169,Topic1,-5.3165,0.6312
99,principal,73.8938175608654,271.70694364623176,Topic1,-4.7361,0.4253
296,mar,46.41269144704811,147.4466412602066,Topic1,-5.2012,0.5715
716,continua,27.371109042679475,75.4200661610556,Topic1,-5.7292,0.7138
141,ultima,36.97212143447648,118.65719298691064,Topic1,-5.4286,0.5613
29,secundario,18.25324374367314,43.809201593695796,Topic1,-6.1344,0.8519
34,varios,22.909997019424715,61.983572940794645,Topic1,-5.9072,0.7321
779,guerra,9.908496554021777,18.782558338508522,Topic1,-6.7453,1.0878
815,video,37.058439865954604,127.81974457891869,Topic1,-5.4262,0.4892
170,nueva,32.88769501328694,110.64172881699864,Topic1,-5.5456,0.5142
989,ceniza,34.19173992066504,118.46256069285285,Topic1,-5.5068,0.4848
1659,boca,26.796617069101856,84.63258436208702,Topic1,-5.7505,0.5773
824,noche,15.99627386840321,38.77242825279184,Topic1,-6.2664,0.842
2902,tajogaite,20.130294066464177,55.41553017982694,Topic1,-6.0365,0.7147
11,espanola,30.262615682197392,115.55253366494009,Topic1,-5.6288,0.3876
403,vaca,18.9080706540581,52.090288166383985,Topic1,-6.0991,0.714
1878,atrapados,29.92651429472318,120.87584690495913,Topic1,-5.64,0.3313
642,laguna,33.84375195134894,161.46311185035194,Topic1,-5.517,0.1648
694,declarada,19.948304438484996,59.755957148797464,Topic1,-6.0456,0.6302
1368,hectareas,29.278392585347525,140.02707969083096,Topic1,-5.6619,0.1624
180,islas,23.20680463461975,97.04164632941324,Topic1,-5.8943,0.2967
185,noticias,23.772793024817325,115.62092879029733,Topic1,-5.8702,0.1456
106,via,28.196366512676008,213.59387524394597,Topic1,-5.6995,-0.2975
392,cabeza,18.73366678726757,59.828204491853455,Topic1,-6.1084,0.5662
18,coladas,19.751082492214117,135.4985560632216,Topic1,-6.0555,-0.1984
165,imagenes,18.772344755768767,143.64371203688785,Topic1,-6.1063,-0.3076
2978,mediatica,4.061061884483813,4.741962334690186,Topic2,-7.4924,1.7173
701,entiende,3.2737986192159303,3.9542216625342803,Topic2,-7.7079,1.6834
9139,asociado,3.2733172021324806,3.9538025134016017,Topic2,-7.708,1.6834
4909,lacamaradelarte,3.273060799817991,3.953629779424083,Topic2,-7.7081,1.6834
4911,rico,3.2729000446861605,3.95345020054543,Topic2,-7.7082,1.6834
4908,centrado,3.27178918006805,3.9523718493778928,Topic2,-7.7085,1.6833
9141,espanaafricana,3.271483787733174,3.9521364127837924,Topic2,-7.7086,1.6833
9140,drramonreyesmd,3.270462420035423,3.9512513533977964,Topic2,-7.7089,1.6832
10695,miden,3.263824590390092,3.9494226907996044,Topic2,-7.7109,1.6816
6297,extincion,2.4834570416281028,3.1636146809904133,Topic2,-7.9842,1.6302
3878,analizar,2.482984107665066,3.163270655814113,Topic2,-7.9844,1.6301
10246,tempranas,2.4822579525576947,3.1627612540606043,Topic2,-7.9847,1.63
4694,proposito,2.48208192780912,3.1627207562606623,Topic2,-7.9847,1.6299
7479,nasa,2.4808109442932103,3.161574973343613,Topic2,-7.9853,1.6298
4500,merced,2.4808777488664644,3.161885125988517,Topic2,-7.9852,1.6297
0,anuncio,2.4794144105951847,3.1605419858485426,Topic2,-7.9858,1.6295
3667,alimentando,8.005047375832792,10.227189941856022,Topic2,-6.8138,1.6273
3170,tiempobrasero,6.028634712345006,7.879195294579617,Topic2,-7.0973,1.6046
3168,slaplanatve,5.966645158237472,7.8790340218622505,Topic2,-7.1077,1.5942
4190,recaudacion,2.9594741947790726,3.9433089283652816,Topic2,-7.8088,1.5853
2805,ralentizacion,8.797056946971868,11.782776796378965,Topic2,-6.7194,1.58
3164,glezjuanje,5.256031975775244,7.092214126334779,Topic2,-7.2345,1.5726
3171,vickypalmameteo,5.242679544244842,7.08990086905871,Topic2,-7.237,1.5704
964,permitieron,2.3425384144159045,3.1731971797858023,Topic2,-8.0426,1.5688
3167,orbitalaikatve,5.197685921885186,7.089211595466788,Topic2,-7.2456,1.5619
3166,himargonzalez,5.182998247201744,7.08880244781166,Topic2,-7.2485,1.5591
3165,gustexeda,5.170372394934734,7.0868571470912105,Topic2,-7.2509,1.557
8974,muros,1.6939363119792585,2.373957845587494,Topic2,-8.3668,1.5348
7357,reverte,1.6933914835707198,2.3734251870585488,Topic2,-8.3671,1.5347
1843,probablemente,1.6931801478334254,2.3733163453583366,Topic2,-8.3672,1.5346
591,patrimonio,5.631329464416122,7.946453483738824,Topic2,-7.1655,1.5279
6080,urbana,8.794606173484489,12.622425587600778,Topic2,-6.7197,1.5109
443,peligro,12.750145250680248,19.062641441047788,Topic2,-6.3483,1.4701
10232,enterrado,6.430365604193465,9.43923997503804,Topic2,-7.0328,1.4884
3668,sufren,7.2135433986703426,11.049904936037017,Topic2,-6.9179,1.4458
2891,salud,8.797076458148817,14.122163702502466,Topic2,-6.7194,1.3989
1438,mental,8.790052434446675,14.170859373354995,Topic2,-6.7202,1.3947
2069,actualiza,4.848879521670699,7.0913560741800135,Topic2,-7.3151,1.4921
3163,elmorromazo,5.21173269682141,7.853664570300116,Topic2,-7.2429,1.4622
5069,destruyendo,8.012958733930157,13.377326713157721,Topic2,-6.8128,1.3598
319,toneladas,5.643017931877472,8.724046430367942,Topic2,-7.1634,1.4366
1322,gases,14.63646038888335,30.382479758328348,Topic2,-6.2103,1.1419
27,nacional,14.618087646692405,30.919599953931602,Topic2,-6.2116,1.1231
18,coladas,43.72421500751854,135.4985560632216,Topic2,-5.1159,0.7412
1725,rescate,21.16794733333847,52.423270347850234,Topic2,-5.8414,0.9654
155,impresionante,14.089521379985749,30.910677772361204,Topic2,-6.2484,1.0866
119,perros,54.41760565790151,209.1739469471087,Topic2,-4.8972,0.5258
812,volcanlapalma,27.984502752783385,90.35492300035489,Topic2,-5.5622,0.7002
551,zona,26.903366381848837,85.83866670703338,Topic2,-5.6016,0.712
2621,eruptivo,12.988849231051606,29.8872816465893,Topic2,-6.3297,1.0389
2070,copernicus,10.025620619255655,20.46549283240926,Topic2,-6.5887,1.1587
184,cumbrevieja,34.41888002462026,126.23447317568959,Topic2,-5.3552,0.5727
989,ceniza,31.29517452734342,118.46256069285285,Topic2,-5.4504,0.5411
